Order_ID,Restaurant,Cuisine,City,Quantity,Order_Value,Delivery_Time,Payment
ORD1001,Pizza Point,South Indian,Bengaluru,5,908,77,Credit Card
ORD1002,Tasty Treats,Fast Food,Bengaluru,3,1048,68,Debit Card
ORD1003,Fresh Bowl,South Indian,Coimbatore,4,392,69,Wallet
ORD1004,Chennai Meals,Fast Food,Bengaluru,5,692,54,Credit Card
ORD1005,Pizza Point,Italian,Delhi,4,1213,29,Cash
ORD1006,Dosa Street,Fast Food,Chennai,3,378,35,Debit Card
ORD1007,Urban Bites,Indian,Delhi,3,697,61,Credit Card
ORD1008,Pizza Point,Italian,Hyderabad,4,1069,87,Debit Card
ORD1009,Fresh Bowl,Indian,Hyderabad,1,1396,67,Credit Card
ORD1010,Chennai Meals,North Indian,Madurai,2,155,23,UPI
ORD1011,Tasty Treats,Chinese,Delhi,1,1495,88,Debit Card
ORD1012,Fresh Bowl,Fast Food,Delhi,1,617,66,Cash
ORD1013,Fresh Bowl,Chinese,Delhi,1,1905,71,Cash
ORD1014,Urban Bites,Chinese,Mumbai,5,224,40,Wallet
ORD1015,Burger House,Fast Food,Bengaluru,3,153,55,Credit Card
ORD1016,Chennai Meals,Italian,Chennai,1,795,49,Debit Card
ORD1017,Food Corner,North Indian,Madurai,3,267,77,Wallet
ORD1018,Fresh Bowl,Indian,Delhi,4,1030,39,Debit Card
ORD1019,Burger House,South Indian,Delhi,2,1779,89,Credit Card
ORD1020,Food Corner,Indian,Coimbatore,4,653,52,Cash
ORD1021,Chennai Meals,South Indian,Madurai,4,1096,16,UPI
ORD1022,Spice Hub,Indian,Delhi,5,723,21,Cash
ORD1023,Dosa Street,Fast Food,Madurai,2,1614,48,Wallet
ORD1024,Burger House,North Indian,Bengaluru,4,343,31,UPI
ORD1025,Royal Kitchen,South Indian,Coimbatore,4,996,57,Wallet
ORD1026,Spice Hub,Mexican,Madurai,2,864,73,Credit Card
ORD1027,Dosa Street,Italian,Chennai,2,1565,65,UPI
ORD1028,Urban Bites,Indian,Chennai,4,1199,68,Wallet
ORD1029,Pizza Point,Indian,Hyderabad,2,1608,38,Credit Card
ORD1030,Tasty Treats,South Indian,Coimbatore,4,322,39,Cash
ORD1031,Royal Kitchen,Italian,Coimbatore,4,1473,85,Credit Card
ORD1032,Urban Bites,Italian,Hyderabad,5,1818,66,Debit Card
ORD1033,Chennai Meals,Fast Food,Madurai,1,475,84,Credit Card
ORD1034,Urban Bites,Mexican,Coimbatore,4,1583,47,Credit Card
ORD1035,Pizza Point,Fast Food,Chennai,3,1291,63,Debit Card
ORD1036,Chennai Meals,Fast Food,Chennai,1,985,43,Wallet
ORD1037,Royal Kitchen,Fast Food,Delhi,1,1960,77,Wallet
ORD1038,Pizza Point,Fast Food,Bengaluru,1,873,36,Credit Card
ORD1039,Food Corner,Fast Food,Coimbatore,5,374,40,Debit Card
ORD1040,Tasty Treats,North Indian,Madurai,4,681,42,Debit Card
ORD1041,Royal Kitchen,Italian,Hyderabad,5,262,63,Cash
ORD1042,Food Corner,Fast Food,Hyderabad,4,289,85,Wallet
ORD1043,Dosa Street,Italian,Madurai,5,708,63,UPI
ORD1044,Royal Kitchen,Italian,Mumbai,5,150,34,Wallet
ORD1045,Dosa Street,Chinese,Pune,3,239,77,Wallet
ORD1046,Chennai Meals,North Indian,Bengaluru,5,803,75,Cash
ORD1047,Food Corner,Fast Food,Hyderabad,2,469,63,UPI
ORD1048,Tasty Treats,Indian,Coimbatore,3,1723,85,Cash
ORD1049,Pizza Point,South Indian,Bengaluru,5,1978,15,UPI
ORD1050,Fresh Bowl,Mexican,Coimbatore,1,288,27,Credit Card
ORD1051,Urban Bites,Indian,Mumbai,2,1684,65,UPI
ORD1052,Spice Hub,North Indian,Chennai,2,994,70,Cash
ORD1053,Tasty Treats,South Indian,Bengaluru,2,408,76,Wallet
ORD1054,Food Corner,North Indian,Delhi,3,1846,46,UPI
ORD1055,Fresh Bowl,Italian,Hyderabad,5,1051,44,UPI
ORD1056,Tasty Treats,South Indian,Bengaluru,5,839,43,Debit Card
ORD1057,Food Corner,Italian,Bengaluru,1,159,63,Wallet
ORD1058,Burger House,Indian,Bengaluru,1,410,59,Credit Card
ORD1059,Burger House,Indian,Pune,2,1823,44,Cash
ORD1060,Dosa Street,South Indian,Bengaluru,1,321,30,Credit Card
ORD1061,Tasty Treats,South Indian,Coimbatore,3,1047,54,Wallet
ORD1062,Burger House,Fast Food,Chennai,5,162,33,UPI
ORD1063,Food Corner,North Indian,Mumbai,2,1341,32,UPI
ORD1064,Dosa Street,Fast Food,Madurai,1,1815,15,Wallet
ORD1065,Food Corner,North Indian,Bengaluru,3,1769,61,UPI
ORD1066,Dosa Street,Fast Food,Hyderabad,3,470,80,UPI
ORD1067,Tasty Treats,Italian,Bengaluru,1,1492,52,UPI
ORD1068,Fresh Bowl,South Indian,Hyderabad,5,1786,65,Cash
ORD1069,Pizza Point,Indian,Coimbatore,1,478,77,Cash
ORD1070,Royal Kitchen,North Indian,Hyderabad,2,934,18,Debit Card
ORD1071,Fresh Bowl,North Indian,Delhi,1,926,15,Credit Card
ORD1072,Chennai Meals,Indian,Madurai,3,1060,22,Wallet
ORD1073,Food Corner,Fast Food,Chennai,1,1723,43,Wallet
ORD1074,Chennai Meals,North Indian,Hyderabad,5,1592,69,Wallet
ORD1075,Fresh Bowl,Mexican,Hyderabad,4,1779,17,Debit Card
