Product,Price
Rice,60
Milk,50
Bread,40
Eggs,70
Sugar,55
Salt,25
Tea,120
Coffee,180
Biscuits,45
Oil,150
Soap,35
Shampoo,220
Toothpaste,90
Brush,50
Juice,110
Chips,30
Noodles,40
Flour,65
Butter,250
Cheese,180
Jam,140
Honey,300
Cereal,220
Oats,160
Pasta,90
Ketchup,100
Sauce,80
Pickles,120
Chocolate,60
Cookies,75
Apple,120
Banana,50
Orange,80
Mango,100
Grapes,150
Watermelon,60
Papaya,70
Carrot,50
Potato,40
Tomato,45
Onion,55
Garlic,90
Ginger,80
Lemon,60
Coconut,50
Peanuts,120
Almonds,350
Cashews,400
Raisins,250
Dates,300
